company,obfuscation_score,difficulty_tier
Goodreads,2.58,Easy
HSBC,12.17,Easy
Pinterest,12.74,Easy
Snapchat,13.72,Easy
Dropbox,13.83,Easy
Klarna,14.22,Easy
Vimeo,14.87,Easy
Barclays,15.77,Easy
SurveyMonkey,16.49,Easy
Adyen,17.18,Easy
LinkedIn,17.34,Easy
Goldman Sachs,17.54,Easy
Signal,17.64,Easy
Discord,19.98,Easy
Splunk,21.1,Easy
Fitbit,26.35,Medium
Strava,26.49,Medium
HubSpot,26.91,Medium
Shopify,26.98,Medium
Substack,27.7,Medium
Workday,27.98,Medium
Bose,28.24,Medium
Intercom,28.26,Medium
Fastly,28.53,Medium
DigitalOcean,28.56,Medium
Cloudflare,29.18,Medium
JPMorgan Chase,29.23,Medium
Wix,29.55,Medium
Asana,29.76,Medium
Airtable,30.5,Medium
ClickUp,30.87,Medium
Qualtrics,31.34,Medium
Medium,31.58,Medium
Twilio,31.87,Medium
Citigroup,31.94,Medium
Adobe,39.28,Hard
Slack,39.76,Hard
Line,39.77,Hard
SoundCloud,40.26,Hard
Squarespace,40.96,Hard
Snowflake,41.15,Hard
Okta,41.35,Hard
Equifax,41.66,Hard
Western Union,42.27,Hard
Freshworks,43.42,Hard
Stripe,48.22,Hard
Monday.com,49.11,Hard
Corsair,49.29,Hard
WeChat,50.49,Hard
Salesforce,61.63,Hard
