Company,Q1,Q2,Q3,Q4,human_obfuscation,human_class,obfuscation_score,is_manual
Barclays,2,2,2,2,2.0,Easy,15.77,True
Goodreads,3,2,3,2,2.5,Moderate,2.58,True
Fitbit,3,3,2,2,2.5,Moderate,26.35,True
Splunk,3,3,2,3,2.75,Moderate,21.1,True
Cloudflare,2,3,3,3,2.75,Moderate,29.18,True
HSBC,5,2,4,1,3.0,Moderate,12.17,False
Snapchat,4,2,4,2,3.0,Moderate,13.72,False
SurveyMonkey,4,4,2,2,3.0,Moderate,16.49,False
Goldman Sachs,4,2,3,3,3.0,Moderate,17.54,False
Signal,3,3,3,3,3.0,Moderate,17.64,False
Citigroup,3,3,3,3,3.0,Moderate,31.94,True
Adobe,3,3,4,2,3.0,Moderate,39.28,True
Salesforce,3,3,3,3,3.0,Moderate,61.63,True
Pinterest,4,3,4,2,3.25,Moderate,12.74,False
Dropbox,4,3,3,3,3.25,Moderate,13.83,False
Equifax,3,4,3,3,3.25,Moderate,41.66,True
Klarna,5,3,3,3,3.5,Moderate,14.22,False
Vimeo,4,4,4,2,3.5,Moderate,14.87,False
LinkedIn,5,3,3,3,3.5,Moderate,17.34,False
Discord,4,3,4,3,3.5,Moderate,19.98,False
Shopify,4,4,3,3,3.5,Moderate,26.98,False
Bose,4,2,4,4,3.5,Moderate,28.24,False
Asana,5,3,2,4,3.5,Moderate,29.76,False
Twilio,4,4,2,4,3.5,Moderate,31.87,False
Stripe,5,3,2,4,3.5,Moderate,48.22,False
WeChat,5,4,2,3,3.5,Moderate,50.49,False
Strava,4,4,4,3,3.75,Obfuscated,26.49,False
HubSpot,5,4,3,3,3.75,Obfuscated,26.91,False
Substack,4,5,3,3,3.75,Obfuscated,27.7,False
Workday,4,4,4,3,3.75,Obfuscated,27.98,False
Fastly,4,5,3,3,3.75,Obfuscated,28.53,False
JPMorgan Chase,4,3,4,4,3.75,Obfuscated,29.23,False
Wix,3,5,3,4,3.75,Obfuscated,29.55,False
ClickUp,4,4,3,4,3.75,Obfuscated,30.87,False
Western Union,4,4,3,4,3.75,Obfuscated,42.27,False
Adyen,4,5,4,3,4.0,Obfuscated,17.18,False
Intercom,4,5,3,4,4.0,Obfuscated,28.26,False
DigitalOcean,4,5,3,4,4.0,Obfuscated,28.56,False
Airtable,4,5,3,4,4.0,Obfuscated,30.5,False
Qualtrics,3,5,4,4,4.0,Obfuscated,31.34,False
Medium,4,4,4,4,4.0,Obfuscated,31.58,False
SoundCloud,5,5,3,3,4.0,Obfuscated,40.26,False
Freshworks,5,5,3,3,4.0,Obfuscated,43.42,False
Slack,4,5,4,4,4.25,Obfuscated,39.76,False
Squarespace,5,4,4,4,4.25,Obfuscated,40.96,False
Snowflake,4,5,4,4,4.25,Obfuscated,41.15,False
Okta,5,4,4,4,4.25,Obfuscated,41.35,False
Monday.com,5,5,3,4,4.25,Obfuscated,49.11,False
Line,5,5,4,4,4.5,Obfuscated,39.77,False
Corsair,5,5,5,4,4.75,Obfuscated,49.29,False
