company,word_count,sentence_count,avg_sentence_length,char_count,unique_words,flesch_reading_ease,flesch_kincaid_grade,legal_term_count,norm_word_count,norm_avg_sentence_length,norm_unique_words,norm_flesch_reading_ease,norm_legal_term_count,score_raw,obfuscation_score,label
Salesforce,10344,308,33.58441558441559,66231,1942,11.872229875587038,21.13941679374133,70,0.365086,0.378791,0.481523,0.983535,0.463576,0.616311,61.63,Obfuscated
WeChat,19357,883,21.92185730464326,120214,1708,34.30008578802091,14.460871573881011,151,0.700204,0.162827,0.415515,0.436077,1.0,0.504906,50.49,Obfuscated
Corsair,9981,427,23.374707259953162,65097,1778,19.772677275844103,17.506099448373046,68,0.35159,0.18973,0.435261,0.790687,0.450331,0.492924,49.29,Obfuscated
Monday.com,6439,251,25.653386454183266,42198,1598,15.823778169014105,18.989498435054774,47,0.219892,0.231926,0.384485,0.887078,0.311258,0.491148,49.11,Obfuscated
Stripe,27420,728,37.66483516483517,160728,3780,42.96865524741155,19.33402817432825,68,1.0,0.454351,1.0,0.224479,0.450331,0.482222,48.22,Obfuscated
Freshworks,12705,591,21.497461928934012,78871,2295,31.927893050807512,15.316820860207812,90,0.452872,0.154968,0.5811,0.493981,0.596026,0.434238,43.42,Obfuscated
Western Union,7955,324,24.55246913580247,51171,1825,21.23549343128576,17.55680609729833,25,0.27626,0.211539,0.448519,0.75498,0.165563,0.422718,42.27,Obfuscated
Equifax,939,35,26.82857142857143,6663,294,11.197692730240476,18.54385366313014,0,0.015393,0.253688,0.016643,1.0,0.0,0.416626,41.66,Obfuscated
Okta,10573,481,21.98128898128898,67594,1932,25.66867123435793,16.30969122227092,46,0.373601,0.163927,0.478702,0.646767,0.304636,0.413508,41.35,Obfuscated
Snowflake,4665,202,23.094059405940595,31257,1187,18.06112427666025,18.232224671626714,24,0.153932,0.184533,0.268547,0.832465,0.15894,0.411532,41.15,Obfuscated
Squarespace,10501,478,21.968619246861923,66714,1900,28.61660843304412,15.638461141480946,63,0.370924,0.163692,0.469676,0.574809,0.417219,0.40961,40.96,Obfuscated
SoundCloud,12955,537,24.124767225325886,80326,2285,33.72448147133636,15.167804836460366,68,0.462168,0.203619,0.578279,0.450127,0.450331,0.40256,40.26,Obfuscated
Line,6051,212,28.54245283018868,38163,1266,23.654772874756674,17.196773379479414,25,0.205466,0.285425,0.290832,0.695926,0.165563,0.397673,39.77,Obfuscated
Slack,5957,247,24.11740890688259,39339,1374,22.663292891512896,16.424022353029496,32,0.201971,0.203483,0.321298,0.720128,0.211921,0.397627,39.76,Obfuscated
Adobe,6609,275,24.03272727272727,42351,1454,24.198227529394302,16.72329551709655,35,0.226213,0.201915,0.343865,0.68266,0.231788,0.392775,39.28,Obfuscated
Square (Block),8103,312,25.971153846153847,50711,1689,26.57953953100497,16.524974553229388,27,0.281762,0.23781,0.410155,0.624533,0.178808,0.382992,38.3,Obfuscated
Grindr,13989,763,18.334207077326344,91479,2488,32.49568492867317,14.1560240257703,55,0.500613,0.096391,0.635543,0.480122,0.364238,0.378604,37.86,Obfuscated
DocuSign,8706,465,18.72258064516129,56524,1618,29.636257582710044,14.533259290444352,67,0.304183,0.103583,0.390127,0.54992,0.443709,0.376541,37.65,Obfuscated
Bumble,16380,244,67.1311475409836,83813,1638,48.905713056393836,24.07856072955399,0,0.589515,1.0,0.395769,0.079557,0.0,0.376373,37.64,Obfuscated
Atlassian,8418,407,20.683046683046683,54376,1618,26.224675031307243,15.88567645299359,32,0.293475,0.139887,0.390127,0.633195,0.211921,0.367334,36.73,Obfuscated
Bitbucket,8418,407,20.683046683046683,54376,1618,26.224675031307243,15.88567645299359,32,0.293475,0.139887,0.390127,0.633195,0.211921,0.367334,36.73,Obfuscated
Confluence,8418,407,20.683046683046683,54376,1618,26.224675031307243,15.88567645299359,32,0.293475,0.139887,0.390127,0.633195,0.211921,0.367334,36.73,Obfuscated
Jira,8418,407,20.683046683046683,54376,1618,26.224675031307243,15.88567645299359,32,0.293475,0.139887,0.390127,0.633195,0.211921,0.367334,36.73,Obfuscated
Trello,8418,407,20.683046683046683,54376,1618,26.224675031307243,15.88567645299359,32,0.293475,0.139887,0.390127,0.633195,0.211921,0.367334,36.73,Obfuscated
Clubhouse,10994,465,23.643010752688173,68192,1801,31.560321344932646,15.251925196115057,35,0.389255,0.194698,0.441749,0.502954,0.231788,0.354166,35.42,Obfuscated
Veeva Systems,5905,307,19.234527687296417,38568,1377,24.239593357691007,15.58325233778767,19,0.200037,0.113063,0.322144,0.681651,0.125828,0.344227,34.42,Obfuscated
BeReal,5438,222,24.495495495495497,33004,1227,28.221606693903226,16.858143936861158,26,0.182673,0.210484,0.279831,0.584451,0.172185,0.337866,33.79,Obfuscated
PayPal,6930,314,22.070063694267517,43518,1399,28.75606249118232,15.696884023466897,30,0.238148,0.165571,0.32835,0.571405,0.198675,0.337769,33.78,Moderate
Canva,8198,346,23.69364161849711,50165,1616,35.95615061119301,14.804264968514303,62,0.285295,0.195636,0.389563,0.395653,0.410596,0.336993,33.7,Moderate
Wattpad,3300,127,25.984251968503937,20639,734,27.007432561243007,16.346394052044612,25,0.103179,0.238053,0.140762,0.614088,0.165563,0.331951,33.2,Moderate
GitLab,1876,81,23.160493827160494,12465,713,23.782136370209685,16.05020997830803,15,0.050232,0.185763,0.134838,0.692817,0.099338,0.327301,32.73,Moderate
PagerDuty,4662,252,18.5,30801,1229,25.27167248400235,15.759798055347797,22,0.15382,0.099461,0.280395,0.656458,0.145695,0.327186,32.72,Moderate
GitHub,6146,334,18.40119760479042,40792,1611,28.460280056226253,14.469839025336018,27,0.208998,0.097632,0.388152,0.578625,0.178808,0.322403,32.24,Moderate
Citigroup,2003,89,22.50561797752809,13066,684,23.3797253140404,16.490137541739546,9,0.054954,0.173636,0.126657,0.70264,0.059603,0.319415,31.94,Moderate
Twilio,5133,293,17.51877133105802,33729,1506,26.698024333645634,14.646450526437615,21,0.171333,0.081291,0.358533,0.621641,0.139073,0.318698,31.87,Moderate
Medium,3050,128,23.828125,19433,899,26.77489965102413,16.131189021247774,16,0.093884,0.198126,0.187306,0.619765,0.10596,0.31576,31.58,Moderate
Qualtrics,3415,177,19.293785310734464,22556,1064,25.447978436122497,15.345323061038084,17,0.107455,0.114161,0.23385,0.652154,0.112583,0.313441,31.34,Moderate
ClickUp,4116,173,23.791907514450866,26059,1059,28.418423689206975,15.39465517744998,15,0.133519,0.197456,0.23244,0.579647,0.099338,0.308704,30.87,Moderate
Airtable,4671,244,19.14344262295082,30049,1162,29.702002789956197,15.0401474691112,33,0.154155,0.111377,0.261495,0.548315,0.218543,0.305028,30.5,Moderate
