company,norm_word_count,norm_avg_sentence_length,norm_unique_words,norm_flesch_reading_ease,norm_legal_term_count,score_raw,obfuscation_score
Salesforce,0.365086,0.378791,0.481523,0.983535,0.463576,0.616311,61.63
WeChat,0.700204,0.162827,0.415515,0.436077,1.0,0.504906,50.49
Corsair,0.35159,0.18973,0.435261,0.790687,0.450331,0.492924,49.29
Monday.com,0.219892,0.231926,0.384485,0.887078,0.311258,0.491148,49.11
Stripe,1.0,0.454351,1.0,0.224479,0.450331,0.482222,48.22
Freshworks,0.452872,0.154968,0.5811,0.493981,0.596026,0.434238,43.42
Western Union,0.27626,0.211539,0.448519,0.75498,0.165563,0.422718,42.27
Equifax,0.015393,0.253688,0.016643,1.0,0.0,0.416626,41.66
Okta,0.373601,0.163927,0.478702,0.646767,0.304636,0.413508,41.35
Snowflake,0.153932,0.184533,0.268547,0.832465,0.15894,0.411532,41.15
Squarespace,0.370924,0.163692,0.469676,0.574809,0.417219,0.40961,40.96
SoundCloud,0.462168,0.203619,0.578279,0.450127,0.450331,0.40256,40.26
Line,0.205466,0.285425,0.290832,0.695926,0.165563,0.397673,39.77
Slack,0.201971,0.203483,0.321298,0.720128,0.211921,0.397627,39.76
Adobe,0.226213,0.201915,0.343865,0.68266,0.231788,0.392775,39.28
Square (Block),0.281762,0.23781,0.410155,0.624533,0.178808,0.382992,38.3
Grindr,0.500613,0.096391,0.635543,0.480122,0.364238,0.378604,37.86
DocuSign,0.304183,0.103583,0.390127,0.54992,0.443709,0.376541,37.65
Bumble,0.589515,1.0,0.395769,0.079557,0.0,0.376373,37.64
Atlassian,0.293475,0.139887,0.390127,0.633195,0.211921,0.367334,36.73
Bitbucket,0.293475,0.139887,0.390127,0.633195,0.211921,0.367334,36.73
Confluence,0.293475,0.139887,0.390127,0.633195,0.211921,0.367334,36.73
Jira,0.293475,0.139887,0.390127,0.633195,0.211921,0.367334,36.73
Trello,0.293475,0.139887,0.390127,0.633195,0.211921,0.367334,36.73
Clubhouse,0.389255,0.194698,0.441749,0.502954,0.231788,0.354166,35.42
Veeva Systems,0.200037,0.113063,0.322144,0.681651,0.125828,0.344227,34.42
BeReal,0.182673,0.210484,0.279831,0.584451,0.172185,0.337866,33.79
PayPal,0.238148,0.165571,0.32835,0.571405,0.198675,0.337769,33.78
Canva,0.285295,0.195636,0.389563,0.395653,0.410596,0.336993,33.7
Wattpad,0.103179,0.238053,0.140762,0.614088,0.165563,0.331951,33.2
GitLab,0.050232,0.185763,0.134838,0.692817,0.099338,0.327301,32.73
PagerDuty,0.15382,0.099461,0.280395,0.656458,0.145695,0.327186,32.72
GitHub,0.208998,0.097632,0.388152,0.578625,0.178808,0.322403,32.24
Citigroup,0.054954,0.173636,0.126657,0.70264,0.059603,0.319415,31.94
Twilio,0.171333,0.081291,0.358533,0.621641,0.139073,0.318698,31.87
Medium,0.093884,0.198126,0.187306,0.619765,0.10596,0.31576,31.58
Qualtrics,0.107455,0.114161,0.23385,0.652154,0.112583,0.313441,31.34
ClickUp,0.133519,0.197456,0.23244,0.579647,0.099338,0.308704,30.87
Airtable,0.154155,0.111377,0.261495,0.548315,0.218543,0.305028,30.5
Asana,0.12902,0.179617,0.269958,0.543744,0.112583,0.297629,29.76
Wix,0.04209,0.131077,0.091396,0.693508,0.033113,0.295468,29.55
JPMorgan Chase,0.065328,0.206431,0.137377,0.625981,0.006623,0.292296,29.23
Cloudflare,0.23391,0.02486,0.418618,0.546393,0.145695,0.291844,29.18
DigitalOcean,0.099349,0.034823,0.197743,0.645566,0.10596,0.285555,28.56
Fastly,0.213162,0.091808,0.326375,0.455424,0.245033,0.285311,28.53
Intercom,0.164603,0.058528,0.286037,0.549882,0.152318,0.282618,28.26
Bose,0.0,0.145756,0.0,0.702864,0.0,0.282441,28.24
Workday,0.148355,0.084756,0.27701,0.496255,0.211921,0.279799,27.98
Substack,0.142517,0.127068,0.251622,0.527592,0.10596,0.27703,27.7
Shopify,0.097081,0.266284,0.170945,0.462311,0.072848,0.269752,26.98
HubSpot,0.298197,0.044582,0.398307,0.367797,0.298013,0.269127,26.91
Strava,0.134077,0.155304,0.266008,0.47111,0.10596,0.264915,26.49
Fitbit,0.165049,0.198816,0.248237,0.435967,0.099338,0.263489,26.35
Flickr,0.187693,0.093038,0.350917,0.444472,0.139073,0.2605,26.05
Vanguard,0.12084,0.170519,0.201693,0.503794,0.019868,0.255185,25.52
Asus,0.178992,0.098981,0.31622,0.46149,0.086093,0.253007,25.3
YouTube,0.304257,0.222931,0.39323,0.317904,0.059603,0.248668,24.87
Google,0.304257,0.222931,0.39323,0.317904,0.059603,0.248668,24.87
Zendesk,0.182153,0.03131,0.315656,0.449825,0.15894,0.246835,24.68
Hinge,0.135676,0.201096,0.270804,0.380356,0.099338,0.243914,24.39
New Relic,0.191932,0.051046,0.31481,0.364407,0.251656,0.241309,24.13
Coinbase,0.10686,0.044289,0.199154,0.50194,0.119205,0.241194,24.12
Experian,0.022197,0.097488,0.056982,0.540517,0.0,0.221471,22.15
Datadog,0.114519,0.048396,0.183357,0.449131,0.099338,0.21895,21.9
X (Twitter),0.176947,0.119282,0.292243,0.343226,0.072848,0.211438,21.14
Splunk,0.119465,0.030477,0.229901,0.416921,0.112583,0.210995,21.1
Cisco,0.119465,0.030477,0.229901,0.416921,0.112583,0.210995,21.1
Discord,0.189775,0.107847,0.301269,0.273991,0.139073,0.199778,19.98
Signal,0.053802,0.056203,0.124683,0.378659,0.059603,0.176351,17.64
Goldman Sachs,0.03852,0.105151,0.081241,0.380334,0.019868,0.175354,17.54
LinkedIn,0.168433,0.049406,0.297884,0.28912,0.066225,0.17342,17.34
Adyen,0.059007,0.140309,0.106629,0.324428,0.033113,0.171813,17.18
SurveyMonkey,0.15475,0.0,0.249929,0.268526,0.152318,0.164916,16.49
Barclays,0.02164,0.256862,0.040056,0.249418,0.0,0.157681,15.77
Vimeo,0.134858,0.03345,0.275035,0.234519,0.086093,0.148652,14.87
Klarna,0.01952,0.11695,0.051058,0.302674,0.0,0.142231,14.22
Dropbox,0.086708,0.064472,0.170099,0.234032,0.072848,0.138279,13.83
Snapchat,0.179141,0.149503,0.281523,0.13479,0.033113,0.137241,13.72
Pinterest,0.102733,0.112944,0.176869,0.158127,0.07947,0.127435,12.74
HSBC,0.063358,0.210466,0.105219,0.133967,0.02649,0.121661,12.17
Goodreads,0.015839,0.071354,0.037236,0.0,0.013245,0.025795,2.58
