company,word_count,sentence_count,avg_sentence_length,char_count,unique_words,flesch_reading_ease,flesch_kincaid_grade,legal_term_count
Adyen,2112,102,20.705882352941178,13163,613,38.87401866490339,13.107950968310742,5
Barclays,1107,41,27.0,6545,377,41.94699918548352,13.940398660572878,0
Citigroup,2003,89,22.50561797752809,13066,684,23.3797253140404,16.490137541739546,9
Coinbase,3399,219,15.520547945205479,21823,941,31.601859164055384,14.171340042513368,18
Equifax,939,35,26.82857142857143,6663,294,11.197692730240476,18.54385366313014,0
Experian,1122,61,18.39344262295082,7189,437,30.021438300877833,14.33111055056671,0
Goldman Sachs,1561,83,18.80722891566265,9686,523,36.583706293706285,14.028566433566436,3
HSBC,2229,91,24.494505494505493,12676,608,46.67670295690269,13.00578066954412,4
JPMorgan Chase,2282,94,24.27659574468085,14525,722,26.520229847333695,16.48253105564581,1
Klarna,1050,54,19.444444444444443,6468,416,39.76521179900533,12.7252763962728,0
PayPal,6930,314,22.070063694267517,43518,1399,28.75606249118232,15.696884023466897,30
Square (Block),8103,312,25.971153846153847,50711,1689,26.57953953100497,16.524974553229388,27
Stripe,27420,728,37.66483516483517,160728,3780,42.96865524741155,19.33402817432825,68
Vanguard,3775,169,22.337278106508876,24041,950,31.52590834032293,15.015589134689318,3
Western Union,7955,324,24.55246913580247,51171,1825,21.23549343128576,17.55680609729833,25
Airtable,4671,244,19.14344262295082,30049,1162,29.702002789956197,15.0401474691112,33
Asana,3995,175,22.82857142857143,25152,1192,29.88926187429294,16.440160129082518,17
Atlassian,8418,407,20.683046683046683,54376,1618,26.224675031307243,15.88567645299359,32
Bitbucket,8418,407,20.683046683046683,54376,1618,26.224675031307243,15.88567645299359,32
Canva,8198,346,23.69364161849711,50165,1616,35.95615061119301,14.804264968514303,62
ClickUp,4116,173,23.791907514450866,26059,1059,28.418423689206975,15.39465517744998,15
Confluence,8418,407,20.683046683046683,54376,1618,26.224675031307243,15.88567645299359,32
Datadog,3605,229,15.74235807860262,22971,885,33.76528343438082,13.204431665663908,15
DocuSign,8706,465,18.72258064516129,56524,1618,29.636257582710044,14.533259290444352,67
Dropbox,2857,172,16.61046511627907,17644,838,42.577300476474136,12.445823903116935,11
Freshworks,12705,591,21.497461928934012,78871,2295,31.927893050807512,15.316820860207812,90
GitHub,6146,334,18.40119760479042,40792,1611,28.460280056226253,14.469839025336018,27
GitLab,1876,81,23.160493827160494,12465,713,23.782136370209685,16.05020997830803,15
HubSpot,8545,550,15.536363636363637,54387,1647,37.0973015520168,13.175089119715466,45
Intercom,4952,304,16.289473684210527,31432,1249,29.637782746125993,14.549840027754222,23
Jira,8418,407,20.683046683046683,54376,1618,26.224675031307243,15.88567645299359,32
Monday.com,6439,251,25.653386454183266,42198,1598,15.823778169014105,18.989498435054774,47
New Relic,5687,358,15.885474860335195,35073,1351,37.23620531724757,13.581314630409807,38
Okta,10573,481,21.98128898128898,67594,1932,25.66867123435793,16.30969122227092,46
PagerDuty,4662,252,18.5,30801,1229,25.27167248400235,15.759798055347797,22
Qualtrics,3415,177,19.293785310734464,22556,1064,25.447978436122497,15.345323061038084,17
Salesforce,10344,308,33.58441558441559,66231,1942,11.872229875587038,21.13941679374133,70
Shopify,3136,114,27.50877192982456,19103,841,33.2253263955856,15.781164416586307,11
Slack,5957,247,24.11740890688259,39339,1374,22.663292891512896,16.424022353029496,32
Snowflake,4665,202,23.094059405940595,31257,1187,18.06112427666025,18.232224671626714,24
Splunk,3738,253,14.774703557312254,24037,1050,35.08482880727823,13.293291382094342,17
Squarespace,10501,478,21.968619246861923,66714,1900,28.61660843304412,15.638461141480946,63
SurveyMonkey,4687,357,13.128851540616246,29263,1121,41.16417262390078,11.924523445538021,23
Trello,8418,407,20.683046683046683,54376,1618,26.224675031307243,15.88567645299359,32
Twilio,5133,293,17.51877133105802,33729,1506,26.698024333645634,14.646450526437615,21
Veeva Systems,5905,307,19.234527687296417,38568,1377,24.239593357691007,15.58325233778767,19
Wix,1657,82,20.20731707317073,10875,559,23.753824421344945,16.004819415773035,5
Workday,4515,255,17.705882352941178,29565,1217,31.834734453794766,13.640040445092545,32
Zendesk,5424,366,14.819672131147541,34755,1354,33.73684293727695,13.637374225978,24
BeReal,5438,222,24.495495495495497,33004,1227,28.221606693903226,16.858143936861158,26
Bumble,16380,244,67.1311475409836,83813,1638,48.905713056393836,24.07856072955399,0
Clubhouse,10994,465,23.643010752688173,68192,1801,31.560321344932646,15.251925196115057,35
Discord,5629,297,18.95286195286195,34825,1303,40.94031494309024,12.592512959796789,21
Flickr,5573,307,18.153094462540718,35620,1479,33.956165789547015,14.077045883451838,21
Goodreads,951,56,16.982142857142858,5749,367,52.164956017956825,10.52672712933754,2
Grindr,13989,763,18.334207077326344,91479,2488,32.49568492867317,14.1560240257703,55
Hinge,4174,174,23.988505747126435,25021,1195,36.582826187385564,14.68083086893294,15
Line,6051,212,28.54245283018868,38163,1266,23.654772874756674,17.196773379479414,25
LinkedIn,5055,320,15.796875,31544,1291,40.32049765807963,12.766888498568829,10
Medium,3050,128,23.828125,19433,899,26.77489965102413,16.131189021247774,16
Pinterest,3288,171,19.228070175438596,19682,862,45.68692136041861,11.8692782394583,12
Signal,1972,122,16.16393442622951,12469,677,36.65231963470322,12.810410668986012,9
Snapchat,5343,252,21.202380952380953,31987,1233,46.64299879859573,12.333718893780834,5
SoundCloud,12955,537,24.124767225325886,80326,2285,33.72448147133636,15.167804836460366,68
Strava,4131,192,21.515625,26783,1178,32.864888291348876,14.209233969713463,16
Substack,4358,218,19.990825688073393,27931,1127,30.55093678160921,15.001758620689657,16
Vimeo,4152,278,14.93525179856115,25757,1210,42.557352890982315,11.803849580176124,13
Wattpad,3300,127,25.984251968503937,20639,734,27.007432561243007,16.346394052044612,25
WeChat,19357,883,21.92185730464326,120214,1708,34.30008578802091,14.460871573881011,151
X (Twitter),5284,270,19.57037037037037,32239,1271,38.10390764880617,13.78543742713967,11
YouTube,8708,346,25.167630057803468,53501,1629,39.141308493739274,14.211279627311747,9
Adobe,6609,275,24.03272727272727,42351,1454,24.198227529394302,16.72329551709655,35
Asus,5339,289,18.474048442906575,34868,1356,33.25896379044687,14.616515151515152,13
Bose,525,25,21.0,3544,235,23.370554621848754,17.671641456582638,0
Cisco,3738,253,14.774703557312254,24037,1050,35.08482880727823,13.293291382094342,17
Cloudflare,6816,471,14.471337579617835,45579,1719,29.780726592825943,14.31332640540144,22
Corsair,9981,427,23.374707259953162,65097,1778,19.772677275844103,17.506099448373046,68
DigitalOcean,3197,213,15.009389671361502,20956,936,25.717895992322383,15.409611597626583,16
Fastly,6258,346,18.08670520231214,39129,1392,33.50748647595867,14.007071408321174,37
Fitbit,4964,208,23.865384615384617,31115,1115,34.30457593924007,14.925807437117317,15
Google,8708,346,25.167630057803468,53501,1629,39.141308493739274,14.211279627311747,9
